N,p,prop_first,prop_second
23,0.1,0.21928166351606806,0.4215500945179584
23,0.1,0.17580340264650285,0.44328922495274103
23,0.1,0.43856332703213613,0.498109640831758
23,0.1,0.3837429111531191,0.4224952741020794
23,0.1,0.3610586011342155,0.4905482041587902
24,0.1,0.3229166666666667,0.4244791666666667
24,0.1,0.3307291666666667,0.4704861111111111
24,0.1,0.2829861111111111,0.3611111111111111
24,0.1,0.3402777777777778,0.3420138888888889
24,0.1,0.2404513888888889,0.4357638888888889
25,0.1,0.224,0.3352
25,0.1,0.3728,0.4064
25,0.1,0.3728,0.3808
25,0.1,0.3512,0.472
25,0.1,0.3064,0.4496
26,0.1,0.378698224852071,0.4415680473372781
26,0.1,0.37056213017751477,0.40162721893491127
26,0.1,0.38979289940828404,0.4282544378698225
26,0.1,0.25443786982248523,0.3661242603550296
26,0.1,0.28920118343195267,0.2995562130177515
27,0.1,0.35802469135802467,0.44650205761316875
27,0.1,0.43415637860082307,0.5233196159122085
27,0.1,0.2613168724279835,0.438957475994513
27,0.1,0.4492455418381344,0.4897119341563786
27,0.1,0.2887517146776406,0.2887517146776406
28,0.1,0.38584183673469385,0.41517857142857145
28,0.1,0.25255102040816324,0.3125
28,0.1,0.24681122448979592,0.4649234693877551
28,0.1,0.3960459183673469,0.4362244897959184
28,0.1,0.44260204081632654,0.49808673469387754
29,0.1,0.37812128418549346,0.3810939357907253
29,0.1,0.2235434007134364,0.2919143876337693
29,0.1,0.2205707491082045,0.4714625445897741
29,0.1,0.34898929845422116,0.4595719381688466
29,0.1,0.41854934601664684,0.4482758620689655
30,0.1,0.42444444444444446,0.4266666666666667
30,0.1,0.165,0.4255555555555556
30,0.1,0.11888888888888889,0.39444444444444443
30,0.1,0.2461111111111111,0.45222222222222225
30,0.1,0.22055555555555556,0.4588888888888889
2,0.2,0.5,0.5
2,0.2,0.5,0.5
2,0.2,0.5,0.5
2,0.2,0.5,0.5
2,0.2,0.5,0.5
3,0.2,0.2222222222222222,0.4444444444444444
3,0.2,0.3888888888888889,0.6111111111111112
3,0.2,0.3888888888888889,0.5
3,0.2,0.5555555555555556,0.6666666666666666
3,0.2,0.3888888888888889,0.6666666666666666
4,0.2,0.40625,0.65625
4,0.2,0.375,0.40625
4,0.2,0.4375,0.53125
4,0.2,0.40625,0.40625
4,0.2,0.40625,0.4375
5,0.2,0.46,0.5
5,0.2,0.42,0.46
5,0.2,0.44,0.48
5,0.2,0.46,0.46
5,0.2,0.4,0.4
6,0.2,0.4444444444444444,0.4861111111111111
6,0.2,0.375,0.4583333333333333
6,0.2,0.4861111111111111,0.5416666666666666
6,0.2,0.4861111111111111,0.4861111111111111
6,0.2,0.4861111111111111,0.5
7,0.2,0.30612244897959184,0.40816326530612246
7,0.2,0.45918367346938777,0.5
7,0.2,0.4489795918367347,0.5510204081632653
7,0.2,0.46938775510204084,0.5408163265306123
7,0.2,0.336734693877551,0.45918367346938777
8,0.2,0.46875,0.4921875
8,0.2,0.4140625,0.4453125
8,0.2,0.34375,0.4296875
8,0.2,0.46875,0.5546875
8,0.2,0.1875,0.3046875
9,0.2,0.41975308641975306,0.4691358024691358
9,0.2,0.35185185185185186,0.5617283950617284
9,0.2,0.4691358024691358,0.48148148148148145
9,0.2,0.37037037037037035,0.41975308641975306
9,0.2,0.3271604938271605,0.5679012345679012
10,0.2,0.4,0.48
10,0.2,0.41,0.48
10,0.2,0.33,0.37
10,0.2,0.32,0.46
10,0.2,0.385,0.635
11,0.2,0.45041322314049587,0.45041322314049587
11,0.2,0.43388429752066116,0.5041322314049587
11,0.2,0.32231404958677684,0.4834710743801653
11,0.2,0.43388429752066116,0.45867768595041325
11,0.2,0.4380165289256198,0.5082644628099173
12,0.2,0.2326388888888889,0.3715277777777778
12,0.2,0.4375,0.4652777777777778
12,0.2,0.2604166666666667,0.375
12,0.2,0.3854166666666667,0.3888888888888889
12,0.2,0.4444444444444444,0.4479166666666667
13,0.2,0.4349112426035503,0.5
13,0.2,0.3905325443786982,0.39644970414201186
13,0.2,0.3727810650887574,0.4349112426035503
13,0.2,0.42011834319526625,0.46745562130177515
13,0.2,0.363905325443787,0.378698224852071
14,0.2,0.33163265306122447,0.34183673469387754
14,0.2,0.45408163265306123,0.5127551020408163
14,0.2,0.4362244897959184,0.5178571428571429
14,0.2,0.1989795918367347,0.2780612244897959
14,0.2,0.42857142857142855,0.4489795918367347
15,0.2,0.40444444444444444,0.4888888888888889
15,0.2,0.30666666666666664,0.3933333333333333
15,0.2,0.4222222222222222,0.4533333333333333
15,0.2,0.3511111111111111,0.42444444444444446
15,0.2,0.32222222222222224,0.32222222222222224
16,0.2,0.41796875,0.53515625
16,0.2,0.34765625,0.484375
16,0.2,0.373046875,0.435546875
16,0.2,0.458984375,0.509765625
16,0.2,0.267578125,0.515625
